loan_amnt,int_rate,purpose,grade,annual_inc,revol_util,emp_length,dti,delinq_2yrs,home_ownership,is_late
5000,0.1356,debt_consolidation,C,52000.0,0.226,9 years,14.39,1,MORTGAGE,0
25000,0.0611,credit_card,A,75000.0,0.3,1 year,32.94,0,RENT,0
12000,0.08460000000000001,debt_consolidation,A,70000.0,0.447,1 year,20.93,0,RENT,0
20000,0.1155,debt_consolidation,B,85000.0,0.785,10+ years,28.72,1,OWN,0
6400,0.1549,credit_card,C,46000.0,0.327,10+ years,18.76,0,RENT,0
20000,0.1155,debt_consolidation,B,70000.0,0.255,2 years,26.38,0,RENT,0
5000,0.08460000000000001,credit_card,A,34985.0,0.278,10+ years,9.43,0,RENT,0
23000,0.1447,debt_consolidation,C,60120.0,0.171,10+ years,11.14,0,MORTGAGE,0
20000,0.1047,debt_consolidation,B,97000.0,0.508,1 year,11.48,0,MORTGAGE,0
20000,0.1502,debt_consolidation,C,70000.0,0.34,10+ years,25.3,1,RENT,0
40000,0.1273,credit_card,B,180950.0,0.84,2 years,21.38,0,OWN,0
20000,0.0611,debt_consolidation,A,70000.0,0.364,4 years,22.78,0,MORTGAGE,0
3500,0.1447,other,C,50000.0,0.46799999999999997,4 years,8.28,0,RENT,0
10000,0.1008,credit_card,B,85000.0,0.349,< 1 year,23.86,0,MORTGAGE,0
3500,0.0611,credit_card,A,30000.0,0.13,< 1 year,7.48,0,OWN,0
12000,0.0611,debt_consolidation,A,52000.0,0.736,10+ years,22.82,1,OWN,0
20000,0.2534,debt_consolidation,E,55000.0,0.61,8 years,18.11,0,MORTGAGE,0
10000,0.2534,debt_consolidation,E,38000.0,0.25,10+ years,30.43,0,MORTGAGE,0
6000,0.1106,credit_card,B,49500.0,0.363,6 years,22.34,0,RENT,0
35000,0.1502,credit_card,C,150000.0,0.63,2 years,16.0,0,MORTGAGE,0
6400,0.1502,debt_consolidation,C,28800.0,0.474,2 years,12.25,0,RENT,0
15000,0.0611,credit_card,A,100000.0,0.109,1 year,21.11,0,MORTGAGE,0
10000,0.0784,debt_consolidation,A,100000.0,0.204,3 years,3.67,0,RENT,0
20000,0.16140000000000002,debt_consolidation,C,42000.0,0.377,4 years,36.94,0,MORTGAGE,0
